"","region_txt","date","sum"
"364","Central America & Caribbean",1992-07-01 10:00:00,3
"365","Central America & Caribbean",1992-08-01 10:00:00,9
"366","Central America & Caribbean",1992-09-01 10:00:00,3
"367","Central America & Caribbean",1992-10-01 10:00:00,4
"368","Central America & Caribbean",1992-11-01 11:00:00,14
"369","Central America & Caribbean",1992-12-01 11:00:00,3
"370","Central America & Caribbean",1994-01-01 11:00:00,5
"371","Central America & Caribbean",1994-02-01 11:00:00,6
"372","Central America & Caribbean",1994-03-01 11:00:00,27
"373","Central America & Caribbean",1994-04-01 10:00:00,2
"374","Central America & Caribbean",1994-05-01 10:00:00,10
"375","Central America & Caribbean",1994-06-01 10:00:00,11
"376","Central America & Caribbean",1994-07-01 10:00:00,41
"377","Central America & Caribbean",1994-08-01 10:00:00,6
"378","Central America & Caribbean",1994-09-01 10:00:00,31
"379","Central America & Caribbean",1994-10-01 10:00:00,25
"380","Central America & Caribbean",1994-11-01 11:00:00,15
"381","Central America & Caribbean",1994-12-01 11:00:00,5
"382","Central America & Caribbean",1995-01-01 11:00:00,4
"383","Central America & Caribbean",1995-02-01 11:00:00,24
"384","Central America & Caribbean",1995-03-01 11:00:00,7
"385","Central America & Caribbean",1995-04-01 10:00:00,6
"386","Central America & Caribbean",1995-05-01 10:00:00,3
"387","Central America & Caribbean",1995-06-01 10:00:00,4
"388","Central America & Caribbean",1995-07-01 10:00:00,4
"389","Central America & Caribbean",1995-08-01 10:00:00,1
"390","Central America & Caribbean",1995-09-01 10:00:00,14
"391","Central America & Caribbean",1995-10-01 10:00:00,6
"392","Central America & Caribbean",1995-11-01 11:00:00,4
"393","Central America & Caribbean",1995-12-01 11:00:00,4
"394","Central America & Caribbean",1996-01-01 11:00:00,7
"395","Central America & Caribbean",1996-02-01 11:00:00,8
"396","Central America & Caribbean",1996-03-01 11:00:00,0
"397","Central America & Caribbean",1996-04-01 10:00:00,10
"398","Central America & Caribbean",1996-05-01 10:00:00,7
"399","Central America & Caribbean",1996-06-01 10:00:00,2
"400","Central America & Caribbean",1996-07-01 10:00:00,10
"401","Central America & Caribbean",1996-08-01 10:00:00,11
"402","Central America & Caribbean",1996-09-01 10:00:00,3
"403","Central America & Caribbean",1996-10-01 10:00:00,15
"404","Central America & Caribbean",1996-11-01 11:00:00,14
"405","Central America & Caribbean",1996-12-01 11:00:00,1
"406","Central America & Caribbean",1997-01-01 11:00:00,7
"407","Central America & Caribbean",1997-02-01 11:00:00,4
